gemeente;Borsele;Goes;Hulst;Kapelle;Middelburg;Noord-Beveland;Reimerswaal;Schouwen-Duiveland;Sluis;Terneuzen;Tholen;Veere;Vlissingen
Geraamd resultaat;49;5896;41;27;-143;2;149;673;4261;1610;0;22;379
Geraamd structureel rekeningresultaat 2026;155;70;502;27;4415;1099;315;0;5917;2339;2176;1977;4038
Geraamd structureel en reëel rekeningresultaat;155;70;502;27;4415;1099;315;0;5917;2339;2176;1977;4038
Algemene reserves;30022;61237;22584;8787;36217;21893;23550;47749;20292;79057;55735;30668;-14131
Bestemmingsreserves;26199;53684;46809;27302;68108;23367;34184;43812;63862;92787;29257;37609;88827
Voorzieningen;6703;17913;15359;6031;49791;2743;9481;30419;19862;17256;9072;16099;64277
Baten (excl. reservemutaties) 2026;85976;208203;107358;50752;236288;42143;74097;169529;114392;255641;101331;97680;321647
Lasten (excl. reservemutaties) 2026;86507;206535;104218;49680;245033;42456;73582;166160;115445;249321;102103;99681;309977
Balanstotaal;119012;334327;185705;109307;260658;63787;113384;236188;180780;358786;136268;168724;273768
Eigen Vermogen;56221;122631;69393;36089;104325;45260;57734;91561;88744;176844;84992;68277;76168
Vreemd Vermogen;62791;211696;116312;73218;156333;18527;55650;144627;92036;181942;51276;100447;197600
Netto schuldquote (opgave gemeente);7;99;81,23;105;33;-14;54;62,4;29;63,3;23;57;39
Netto schuldquote gecorrigeerd (opgave gemeente);4;93;80,64;92;19;-12;39;57;29;62,2;23;49;39
Solvabiliteitsratio (opgave gemeente);44;34;35,38;33;44;71;55;37,4;46;45,4;64;45;33
Grondexploitatie (opgave gemeente);-3;17;8,73;7;14;4;-4,2;1,8;0;3;5;3;3
Structurele exploitatieruimte (opgave gemeente);-10;1,4;0,47;1;-12;3;1;0,1;7;0,9;2,1;2,1;0
Belastingcapaciteit (opgave gemeente);88;102;93,73;89;98;75;93;105,3;89;95,5;84;78;110
Aantal inwoners;23377;40557;27676;13154;50699;8046;23589;34787;23108;56260;27236;22184;46254
Geraamd structureel rekeningresultaat 2027;-1320;-1298;1080;181;4150;-148;-123;-2227;5549;-5602;1872;379;3295
Geraamd structureel rekeningresultaat 2028;-1324;-447;1177;-244;578;-42;-1642;-3609;3672;-11570;782;-489;2072
Geraamd structureel rekeningresultaat 2029;-383;-660;54;-690;2650;450;-1710;-3511;3547;-9522;286;-200;1292
Lasten (excl. reservemutaties) 2027;89102,21;212731,05;107344,54;51170,4;252383,99;43729,68;75789,46;171144,8;118908,35;256800,63;105166,09;102671,43;319276,31
Lasten (excl. reservemutaties) 2028;122582,36;344356,81;191276,15;112586,21;268477,74;65700,61;116785,52;243273,64;186203,4;369549,58;140356,04;173785,72;281981,04
Lasten (excl. reservemutaties) 2029;57907,63;126309,93;71474,79;37171,67;107454,75;46617,8;59466,02;94307,83;91406,32;182149,32;87541,76;70325,31;78453,04
Geraamde lasten sociaal domein;Hoger;Hoger;Hoger;Hoger;Hoger;Hoger;Hoger;Hoger;Hoger;Hoger;Hoger;Hoger;Hoger
Aantal actuele beheerplannen;3;3;3;3;3;3;3;3;3;3;3;3;3
Achterstallig onderhoud;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee;Nee
Beheerplannen budget correct in begroting;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja
Taakstellingen/ombuigingen/Bezuinigingen;0;0;0;0;0;0;0;0;0;0;0;0;0
Weerstandsratio;23,27;3,84;1,9;5,01;2,09;2,85;1,46;18,01;3,24;5,29;22,65;5,17;0,01
Risicobedrag;1373;8916;18400;1385;18000;7335;2720;4097;8434;16410;2300;5200;21900
Onbenutte belastingcapaciteit;-2155;3289;2393;1401;2424;2479;1092;5961;6522;-2978;1936;7138;-1429
Verbonden partijen;13513;21508;9310;6115;56486;8548;12657;11291;6070;34834;10190;11253;23363
