1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
;;;;;;;;;;;;;;;
;;;AU per cluster 2026;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CBS;Naam;Prov;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
1979;Eemsdelta;1; 11.797.007 ; 14.677.859 ; 18.731.177 ; 28.635.179 ; 17.723.614 ; 6.831.120 ; 8.062.930 ; 14.344.543 ; 21.971.014 ; -00 ; -7.954.295 ; -12.824.355 ; 121.995.793 
14;Groningen;1; 91.034.627 ; 95.826.886 ; 90.191.426 ; 137.945.449 ; 95.855.445 ; 47.314.170 ; 40.078.868 ; 118.525.751 ; 93.897.341 ; -31.980.893 ; -43.405.644 ; -69.271.027 ; 666.012.400 
1966;Het Hogeland;1; 10.815.730 ; 11.729.409 ; 16.649.941 ; 27.049.178 ; 18.698.367 ; 7.102.051 ; 7.964.358 ; 11.652.000 ; 25.701.998 ; 3.327.589 ; -8.555.018 ; -13.672.262 ; 118.463.341 
1952;Midden-Groningen;1; 16.027.387 ; 19.148.326 ; 22.427.199 ; 37.238.462 ; 23.662.564 ; 9.358.601 ; 9.628.642 ; 18.525.403 ; 22.858.279 ; 2.949.167 ; -10.900.554 ; -14.203.894 ; 156.719.581 
1895;Oldambt;1; 10.044.550 ; 14.662.191 ; 16.626.563 ; 26.377.569 ; 15.588.381 ; 5.940.865 ; 7.410.431 ; 12.565.836 ; 17.488.385 ; -00 ; -7.029.327 ; -9.536.835 ; 110.138.608 
765;Pekela;1; 3.037.977 ; 4.258.641 ; 4.938.023 ; 9.135.080 ; 5.388.786 ; 1.603.912 ; 1.980.095 ; 3.677.519 ; 4.950.639 ; 519.695 ; -2.212.358 ; -1.989.568 ; 35.288.442 
37;Stadskanaal;1; 8.336.244 ; 10.709.047 ; 14.716.316 ; 22.638.515 ; 12.723.458 ; 4.498.837 ; 6.615.154 ; 10.207.661 ; 11.722.987 ; -00 ; -5.689.021 ; -6.459.891 ; 90.019.306 
